original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
177,3.0,1438,1.0,76,53,70.0,3.727,16.0,4.0,0.0,5,m,0.0005579890782199934
178,2.0,4332,1.0,113,32,66.0,4.0,15.0,3.0,0.0,5,f,0.0016809517989214266
179,2.0,13922,1.0,197,48,75.0,2.909,13.0,3.0,0.0,4,m,0.005402172424880909
180,2.0,5036,1.0,115,37,66.0,3.818,21.0,7.0,0.0,5,f,0.001954125867813551
181,2.0,8586,1.0,163,74,-999.0,4.0,12.0,2.0,-999.0,7,f,0.0033316371527099186
182,2.0,6580,1.0,135,86,71.0,3.636,21.0,7.0,0.0,5,m,0.0025532462689065068
183,2.0,4612,1.0,127,33,62.0,3.909,21.0,7.0,0.0,5,f,0.0017896005763217034
184,2.0,5596,1.0,131,78,66.0,3.364,14.0,3.0,0.0,5,f,0.002171423422614105
185,2.0,9570,1.0,167,76,-999.0,3.818,12.0,2.0,-999.0,7,f,0.0037134599990023202
186,2.0,5596,1.0,131,70,71.0,3.545,21.0,7.0,0.0,5,m,0.002171423422614105
187,2.0,5210,1.0,119,67,69.0,3.273,14.0,3.0,0.0,5,m,0.0020216433223408663
188,2.0,3966,1.0,100,65,66.0,4.0,12.0,3.0,0.0,2,f,0.0015389323256053504
189,2.0,5268,1.0,110,79,71.0,4.0,16.0,4.0,0.0,5,m,0.0020441491405166377
190,1.0,16866,1.0,171,83,67.0,0.818,16.0,4.0,0.0,5,m,0.006544536712975249
191,2.0,5740,1.0,133,62,-999.0,4.0,13.5,3.0,0.0,5,f,0.002227299936705676
192,2.0,3068,1.0,107,54,68.0,3.727,14.0,3.0,0.0,5,m,0.001190480175228748
193,2.0,5210,1.0,119,76,61.0,4.0,13.0,3.0,0.0,5,f,0.0020216433223408663
194,2.0,4052,1.0,111,81,63.0,3.818,16.0,4.0,0.0,5,f,0.0015723030215211496
195,2.0,2634,1.0,88,81,65.0,4.0,18.0,6.0,0.0,5,f,0.0010220745702583189
196,2.0,7140,1.0,151,76,71.0,4.0,17.0,5.0,0.0,5,m,0.0027705438237070603
197,2.0,3348,1.0,121,55,64.0,4.0,14.0,3.0,0.0,2,f,0.001299128952629025
198,2.0,8124,1.0,155,72,71.0,3.273,12.0,2.0,0.0,5,m,0.003152366669999462
199,2.0,4082,1.0,113,68,76.0,4.0,14.0,3.0,0.0,5,m,0.0015839439619568937
200,2.0,8124,1.0,155,62,65.5,3.727,14.0,3.0,0.0,5,f,0.003152366669999462
201,2.0,2758,1.0,103,73,64.0,3.636,12.0,3.0,0.0,5,f,0.0010701904573927272
202,2.0,7140,1.0,151,57,66.0,3.455,12.0,2.0,0.0,5,f,0.0027705438237070603
203,2.0,4438,1.0,123,68,70.0,3.273,16.0,4.0,0.0,5,m,0.0017220831217943885
204,3.0,1736,1.0,95,61,64.0,4.0,17.0,5.0,0.0,5,f,0.0006736224198817167
205,2.0,4264,1.0,119,55,62.0,3.818,14.0,3.0,0.0,5,f,0.0016545656672670736
206,2.0,3280,1.0,115,60,72.0,3.636,14.0,3.0,0.0,5,m,0.001272742820974672
207,2.0,3106,1.0,111,69,62.0,3.636,15.0,3.0,0.0,5,f,0.0012052253664473571
208,2.0,3068,1.0,107,62,70.0,3.636,18.0,5.0,0.0,5,f,0.001190480175228748
209,2.0,4560,1.0,132,69,65.0,4.0,15.0,3.0,1.0,5,f,0.0017694229462330805
210,2.0,3068,1.0,107,62,64.0,3.273,15.0,3.0,0.0,5,f,0.001190480175228748
211,3.0,1264,1.0,72,71,65.0,3.636,18.0,6.0,0.0,5,f,0.0004904716236926785
212,2.0,2682,1.0,95,65,65.0,3.273,15.0,3.0,0.0,5,f,0.0010407000749555093
213,2.0,2982,1.0,96,69,66.0,4.0,16.0,4.0,0.0,5,f,0.0011571094793129488
